Seq. No.,2017 NAPCS Code,Title
1,11,"Food, beverage, and tobacco products, except raw farm products"
2,111,"Food and beverages purchased for future consumption, and related products "
3,11101,Food and beverages purchased for future consumption 
4,1110101,Meat products
5,111010101,"Meat carcasses, whole and half, fresh and frozen"
6,11101010101,"Beef and veal, fresh and frozen whole carcass and half carcass"
7,11101010102,"Pork, fresh and frozen whole carcass and half carcass, not canned or made into sausage"
8,11101010103,"Other meat, fresh and frozen whole carcass and half carcass"
9,111010102,"Meats, fresh and frozen cuts"
10,11101010201,"Beef and veal, fresh and frozen cuts"
11,11101010202,"Pork, fresh and frozen cuts"
12,11101010203,Poultry and fowl
13,11101010204,"Other meat, fresh and frozen cuts"
14,111010103,Processed meat
15,11101010301,Processed poultry
16,11101010302,Other processed meat
17,1110102,Prepared and processed fish and other seafood products 
18,111010201,Prepared and processed fish and other seafood products 
19,11101020101,Prepared and processed fish and other seafood products 
20,1110103,Dairy products and dairy product substitutes
21,111010301,Dairy products and dairy product substitutes
22,11101030101,Dry milk products and mixtures
23,11101030102,Fluid milk
24,11101030103,"Yogurt, except frozen"
25,11101030104,Creamery butter
26,11101030105,"Cheese, including cottage cheese"
27,11101030106,Ice cream and related products
28,11101030107,Other dairy products
29,11101030108,Dairy product substitutes
30,1110104,"Breads, cakes, pies, pastries, and tortillas"
31,111010401,"Breads, cakes, pies, pastries, and tortillas"
32,11101040101,"Breads, cakes, pies, pastries, and tortillas"
33,1110105,Crackers and cookies
34,111010501,Crackers and cookies
35,11101050101,Crackers and cookies
36,1110106,Baking mixes and prepared dough
37,111010601,Baking mixes and prepared dough
38,11101060101,Baking mixes and prepared dough
39,1110107,"Table salt, pepper, and other spices"
40,111010701,"Table salt, pepper, and other spices"
41,11101070101,"Table salt, pepper, and other spices"
42,1110108,Sugar products
43,111010801,Sugar products
44,11101080101,Sugar products
45,1110109,"Flour and other milled grain and oilseed products, except oils and products for animal feed"
46,111010901,"Flour and other milled grain and oilseed products, except oils and products for animal feed"
47,11101090101,"Flour and other milled grain and oilseed products, except oils and products for animal feed"
48,1110110,"Fats and oils, including lard"
49,111011001,"Fats and oils, including lard"
50,11101100101,Crude and partially refined vegetable oils
51,11101100102,Fully refined fats and oils
52,11101100103,"Margarine, butter blends, and butter substitutes"
53,11101100104,Lard
54,1110111,Chocolate products and confectionery products
55,111011101,Chocolate products and confectionery products
56,11101110101,Chocolate and cocoa for food manufacturing and household baking
57,11101110102,Chocolate candy and chocolate-type confectionery products
58,11101110103,Nonchocolate-type confectionery products
59,1110112,Fresh vegetables
60,111011201,Leafy or stem vegetables
61,11101120101,Asparagus
62,11101120102,Cabbages
63,11101120103,Cauliflowers and broccoli
64,11101120104,Lettuce and chicory
65,11101120105,Spinach
66,11101120106,Artichokes
67,11101120107,Other leafy or stem vegetables
68,111011202,Melons
69,11101120201,Melons
70,111011203,Fruit-bearing vegetables
71,11101120301,Chilies and peppers
72,11101120302,Cucumbers and gherkins
73,11101120303,Eggplants (aubergines)
74,11101120304,Tomatoes
75,11101120305,"Pumpkins, squash and gourds"
76,11101120306,Other fruit-bearing vegetables
77,111011204,Green leguminous vegetables
78,11101120401,Green leguminous vegetables
79,111011205,"Root, bulb or tuberous vegetables"
